 StudyId                          ,t1,t2,outcome,sd
1,7,6,-0.32,0.38
2,7,6,-0.4,0.22
3,8,6,-0.5,0.27
4,8,6,-0.2,0.24
5,1,6,0.9,0.43
6,1,6,0.49,0.27
7,1,6,0.2,0.22
8,1,6,0.97,0.56
9,1,6,0.74,0.25
10,2,6,0.48,0.41
11,2,6,0.19,0.27
13,3,6,-0.5,0.58
14,8,7,-0.03,0.27
15,8,7,0.1,0.22
16,8,7,-0.6,0.27
17,8,7,0.15,0.44
18,8,7,-0.2,0.22
19,8,7,0.4,0.27
22,1,7,-2.29,0.26
23,2,7,-0.1,0.28
24,2,7,-0.27,0.41
25,2,7,0.07,0.34
26,2,7,-1.4,0.4
28,5,7,-0.59,0.25
29,5,7,-0.87,0.52
