 StudyId                          ,t1,t2,outcome,sd
1,7,6,-0.8,1.15
2,7,6,-0.93,0.45
4,8,6,-0.54,0.65
5,1,6,0,1
6,1,6,1.32,0.5
7,1,6,1.61,1.55
9,1,6,2.57,0.94
10,2,6,3.09,1.21
11,2,6,0,1.29
13,3,6,0.22,0.86
14,8,7,0,0.82
15,8,7,-1.39,0.61
16,8,7,-2.58,1.08
17,8,7,0,0.73
18,8,7,-1.95,1.51
19,8,7,0,0.82
21,1,7,0.84,0.83
22,1,7,0.41,0.91
23,2,7,-0.76,0.55
24,2,7,-0.88,0.78
25,2,7,0,0.82
26,2,7,-2.2,1.49
27,4,7,0,2
28,5,7,-2.4,1.48
29,5,7,-0.69,1.32
